"House","Serial number","Name","Date (Europe/Paris)","Value (Wh)"
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 00:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 01:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 01:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 02:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 02:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 03:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 03:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 04:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 04:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 05:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 05:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 06:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 06:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 07:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 07:30:00",1
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 08:00:00",7
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 08:30:00",10
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 09:00:00",17
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 09:30:00",24
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 10:00:00",21
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 10:30:00",29
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 11:00:00",72
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 11:30:00",70
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 12:00:00",68
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 12:30:00",108
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 13:00:00",112
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 13:30:00",134
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 14:00:00",99
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 14:30:00",46
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 15:00:00",45
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 15:30:00",55
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 16:00:00",68
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 16:30:00",50
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 17:00:00",26
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 17:30:00",36
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 18:00:00",42
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 18:30:00",47
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 19:00:00",35
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 19:30:00",19
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 20:00:00",7
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 20:30:00",4
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 21:00:00",2
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 21:30:00",1
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 22:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 22:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 23:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-01 23:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 00:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 00:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 01:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 01:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 02:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 02:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 03:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 03:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 04:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 04:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 05:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 05:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 06:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 06:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 07:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 07:30:00",3
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 08:00:00",6
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 08:30:00",9
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 09:00:00",11
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 09:30:00",14
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 10:00:00",15
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 10:30:00",19
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 11:00:00",77
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 11:30:00",84
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 12:00:00",131
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 12:30:00",97
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 13:00:00",65
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 13:30:00",125
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 14:00:00",97
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 14:30:00",111
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 15:00:00",129
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 15:30:00",113
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 16:00:00",89
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 16:30:00",88
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 17:00:00",77
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 17:30:00",46
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 18:00:00",35
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 18:30:00",27
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 19:00:00",27
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 19:30:00",16
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 20:00:00",8
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 20:30:00",7
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 21:00:00",4
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 21:30:00",1
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 22:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 22:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 23:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-02 23:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 00:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 00:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 01:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 01:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 02:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 02:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 03:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 03:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 04:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 04:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 05:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 05:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 06:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 06:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 07:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 07:30:00",3
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 08:00:00",6
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 08:30:00",8
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 09:00:00",9
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 09:30:00",14
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 10:00:00",16
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 10:30:00",25
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 11:00:00",82
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 11:30:00",119
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 12:00:00",125
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 12:30:00",125
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 13:00:00",136
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 13:30:00",147
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 14:00:00",149
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 14:30:00",147
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 15:00:00",145
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 15:30:00",142
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 16:00:00",134
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 16:30:00",128
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 17:00:00",45
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 17:30:00",31
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 18:00:00",39
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 18:30:00",59
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 19:00:00",49
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 19:30:00",19
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 20:00:00",6
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 20:30:00",4
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 21:00:00",3
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 21:30:00",1
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 22:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 22:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 23:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-03 23:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 00:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 00:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 01:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 01:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 02:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 02:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 03:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 03:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 04:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 04:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 05:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 05:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 06:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 06:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 07:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 07:30:00",3
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 08:00:00",6
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 08:30:00",17
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 09:00:00",17
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 09:30:00",26
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 10:00:00",37
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 10:30:00",40
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 11:00:00",47
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 11:30:00",67
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 12:00:00",88
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 12:30:00",105
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 13:00:00",121
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 13:30:00",134
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 14:00:00",130
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 14:30:00",146
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 15:00:00",143
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 15:30:00",140
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 16:00:00",135
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 16:30:00",128
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 17:00:00",37
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 17:30:00",12
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 18:00:00",11
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 18:30:00",44
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 19:00:00",31
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 19:30:00",7
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 20:00:00",5
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 20:30:00",3
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 21:00:00",1
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 21:30:00",1
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 22:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 22:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 23:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-04 23:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 00:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 00:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 01:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 01:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 02:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 02:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 03:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 03:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 04:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 04:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 05:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 05:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 06:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 06:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 07:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 07:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 08:00:00",1
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 08:30:00",2
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 09:00:00",8
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 09:30:00",18
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 10:00:00",30
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 10:30:00",36
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 11:00:00",99
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 11:30:00",127
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 12:00:00",118
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 12:30:00",139
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 13:00:00",141
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 13:30:00",143
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 14:00:00",145
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 14:30:00",144
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 15:00:00",142
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 15:30:00",138
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 16:00:00",134
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 16:30:00",124
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 17:00:00",41
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 17:30:00",31
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 18:00:00",28
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 18:30:00",43
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 19:00:00",34
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 19:30:00",14
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 20:00:00",11
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 20:30:00",8
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 21:00:00",4
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 21:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 22:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 22:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 23:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-05 23:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 00:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 00:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 01:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 01:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 02:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 02:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 03:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 03:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 04:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 04:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 05:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 05:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 06:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 06:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 07:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 07:30:00",2
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 08:00:00",6
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 08:30:00",7
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 09:00:00",11
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 09:30:00",20
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 10:00:00",31
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 10:30:00",45
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 11:00:00",61
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 11:30:00",75
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 12:00:00",112
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 12:30:00",123
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 13:00:00",130
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 13:30:00",130
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 14:00:00",108
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 14:30:00",112
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 15:00:00",138
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 15:30:00",139
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 16:00:00",136
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 16:30:00",125
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 17:00:00",24
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 17:30:00",18
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 18:00:00",16
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 18:30:00",33
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 19:00:00",30
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 19:30:00",11
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 20:00:00",12
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 20:30:00",11
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 21:00:00",4
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 21:30:00",1
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 22:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 22:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 23:00:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-06 23:30:00",0
"My house (37000) (#19532)","58BF25385EA1","Box Beem01","2025-08-07 00:00:00",0